1,1,09/15/2017,09/17/2017,300.0
2,2,09/15/2017,09/17/2017,400.0
3,1,09/15/2017,09/17/2017,300.0
4,4,09/15/2017,09/17/2017,240.0
6,4,09/15/2017,09/17/2017,240.0
14,1,09/15/2017,09/17/2017,300.0
15,2,09/15/2017,09/17/2017,400.0
16,1,09/15/2017,09/17/2017,300.0
17,2,09/15/2017,09/17/2017,400.0
22,1,09/15/2017,09/17/2017,300.0
23,1,09/15/2017,09/17/2017,300.0
24,1,09/15/2017,09/17/2017,300.0
28,1,09/15/2017,09/17/2017,300.0
7,1,09/15/2017,09/17/2017,300.0
8,1,09/15/2017,09/17/2017,300.0
9,1,09/15/2017,09/17/2017,300.0
14,1,09/15/2017,09/17/2017,300.0
15,1,09/15/2017,09/17/2017,300.0
16,2,09/15/2017,09/17/2017,400.0
20,4,09/15/2017,09/17/2017,240.0
22,4,09/15/2017,09/17/2017,240.0
24,1,09/15/2017,09/17/2017,300.0
25,1,09/15/2017,09/17/2017,300.0
26,2,09/15/2017,09/17/2017,400.0
27,1,09/15/2017,09/17/2017,300.0
28,2,09/15/2017,09/17/2017,400.0
1,4,09/15/2017,09/17/2017,240.0
3,4,09/15/2017,09/17/2017,240.0
5,1,09/15/2017,09/17/2017,300.0
6,2,09/15/2017,09/17/2017,400.0
7,1,09/15/2017,09/17/2017,300.0
18,1,09/15/2017,09/17/2017,300.0
19,2,09/15/2017,09/17/2017,400.0
20,1,09/15/2017,09/17/2017,300.0
21,2,09/15/2017,09/17/2017,400.0
22,1,09/15/2017,09/17/2017,300.0
23,1,09/15/2017,09/17/2017,300.0
24,1,09/15/2017,09/17/2017,300.0
28,1,09/15/2017,09/17/2017,300.0
